#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/,STL/,Season
120,Maddy Westbeld,26,354,107,38,105,36.2,17,43,39.5,14,16,87.5,21,41,62,23,13,7,16,42,127,1.44,0.81,2016
121,Sarah Ashlee Barker,34,481,105,35,104,33.7,18,61,29.5,17,24,70.8,10,56,66,31,11,4,37,45,104,0.84,0.3,2016
122,Hailey Van Lith,29,361,102,37,109,33.9,5,31,16.1,23,31,74.2,4,27,31,45,12,4,36,22,78,1.25,0.33,2016
123,Julie Vanloo,35,449,99,33,111,29.7,25,92,27.2,8,10,80,4,28,32,68,15,0,49,45,85,1.39,0.31,2016
124,Cameron Brink,19,244,96,35,82,42.7,10,34,29.4,16,21,76.2,26,56,82,9,10,26,25,48,146,0.36,0.4,2016
125,Teaira McCowan,17,219,95,36,67,53.7,1,2,50,22,29,75.9,30,48,78,10,5,12,16,24,146,0.63,0.31,2016
126,Emma Cannon,21,213,93,32,63,50.8,14,36,38.9,15,23,65.2,11,27,38,8,10,1,16,36,95,0.5,0.63,2016
127,Nyara Sabally,17,305,92,37,76,48.7,1,7,14.3,17,25,68,27,50,77,13,9,17,16,37,145,0.81,0.56,2016
128,Zia Cooke,26,261,90,30,84,35.7,15,38,39.5,15,23,65.2,6,8,14,14,10,1,22,26,45,0.64,0.46,2016
129,Amy Okonkwo,8,157,88,30,61,49.2,10,30,33.3,18,20,90,7,18,25,6,11,1,7,11,91,0.86,1.57,2016
130,Makayla Timpson,31,219,82,32,57,56.1,0,0,0,18,27,66.7,18,39,57,1,13,8,8,24,119,0.13,1.63,2016
131,Sevgi Uzun,25,440,78,31,95,32.6,5,30,16.7,11,16,68.8,1,30,31,63,13,3,43,37,76,1.47,0.3,2016
132,Shey Peddy,15,265,77,27,55,49.1,16,35,45.7,7,9,77.8,7,18,25,31,6,0,13,20,96,2.39,0.46,2016
133,Aerial Powers,10,167,74,27,65,41.5,7,19,36.8,13,19,68.4,10,29,39,20,8,1,11,19,87,1.82,0.73,2016
133,Courtney Vandersloot,7,191,74,29,66,43.9,5,23,21.7,11,13,84.6,2,20,22,37,11,2,17,13,90,2.18,0.65,2016
133,Lindsay Allen,31,450,74,26,65,40,3,18,16.7,19,23,82.6,9,23,32,61,10,6,31,37,109,1.97,0.32,2016
