Player,Pos,Team,Age_At_Signing,Start,End,Yrs,Value,AAV,2-Year_Cash,3-Year_Cash
Dana Evans,G,DAL,,2021,2021,1,11577,11577,11577,11577
Kianna Smith,G,LA,,2022,2022,1,9285,9285,9285,9285
Emma Cannon,F,IND,,2021,2021,1,9270,9270,9270,9270
Alaina Coates,C,LV,,2023,2023,1,9207,9207,9207,9207
Alexis Prince,G,CHI,,2020,2020,1,9120,9120,9120,9120
Evina Westbrook,G,LA,,2023,2023,1,8530,8530,8530,8530
Shatori Walker-Kimbrough,G,WAS,,2021,2021,1,5161,5161,5161,5161
Alisia Jenkins,F,PHX,,2020,2020,1,5130,5130,5130,5130
Emma Cannon,F,LV,,2020,2020,1,4560,4560,4560,4560
Kiana Williams,G,SEA,,2021,2021,1,4326,4326,4326,4326
Jazmine Jones,G,CON,,2022,2022,1,4191,4191,4191,4191
Bria Holmes,G,LV,,2021,2021,1,3871,3871,3871,3871
Yvonne Turner,G,PHX,,2022,2022,1,3750,3750,3750,3750
Jillian Alleyne,F,MIN,,2021,2021,1,3245,3245,1391,1391
Karlie Samuelson,G,LA,,2021,2021,1,3245,3245,3245,3245
Jazmine Jones,G,WAS,,2022,2022,1,2994,2994,2994,2994
Liz Dixon,F,PHX,,2023,2023,1,2843,2843,2843,2843
Lindsay Allen,G,MIN,,2022,2022,1,2678,2678,2678,2678
Odyssey Sims,G,CON,,2022,2022,1,2678,2678,2678,2678
Maya Caldwell,G,ATL,,2022,2022,1,1796,1796,1796,1796
Kaela Davis,F,PHX,,2022,2022,1,1607,1607,1607,1607
Camryn Taylor,F,MIN,,2025,2025,1,,,7949,7949
Laeticia Amihere,C,GS,,2025,2025,1,,,53307,53307
Maria Conde,F,GS,,2025,,,,,,
Destanni Henderson,G,ATL,,2024,2024,1,,,4446,4446
Taj Cole,G,ATL,,2024,2024,1,,,,
Khaalia Hillsman,C,ATL,,2024,2024,1,,,,
Elizabeth Balogun,F,ATL,,2024,2024,1,,,,
Christyn Williams,G,PHX,,2023,2023,,,,1625,1625
Bernadett HatÃ¡r,C,CON,,2023,2023,1,,,25456,25456
Rae Burrell,F,LA,,2023,2023,1,,,34934,34934
Taylor Soule,F,CHI,,2023,2023,1,,,38183,38183
Joyner Holmes,F,SEA,,2023,2023,1,,,60736,60736
Dearica Hamby,F,LV,,2022,2024,3,,,321800,510800
Kaila Charles,G,ATL,,2022,2022,1,,,1796,1796
Emma Cannon,F,PHX,,2022,,,,,,
Julie Allemand,G,IND,,2022,,,,,,
Carolyn Swords,C,LV,,2020,2020,,,,,
Liz Cambage,C,LV,,2020,2020,,,,,
Cecilia Zandalasini,F,MIN,,2020,2020,,,,,
Kia Vaughn,C,PHX,,2020,2020,,,,,
