Rank,Player,Team,Salary_USD,Season
109,Grayson Allen,Phoenix Suns,15625000,2024-25
110,P.J. Washington,Dallas Mavericks,15500000,2024-25
111,Max Strus,Cleveland Cavaliers,15212068,2024-25
112,Isaiah Stewart,Detroit Pistons,15000000,2024-25
113,Dorian Finney-Smith,Los Angeles Lakers,14924168,2024-25
114,Mitchell Robinson,New York Knicks,14318182,2024-25
115,Jordan Clarkson,Utah Jazz,14092577,2024-25
116,Onyeka Okongwu,Atlanta Hawks,14000000,2024-25
117,Naz Reid,Minnesota Timberwolves,13986432,2024-25
118,Cade Cunningham,Detroit Pistons,13940658,2024-25
119,Daniel Gafford,Dallas Mavericks,13394160,2024-25
120,Grant Williams,Charlotte Hornets,13025250,2024-25
121,Dennis Schroder,Detroit Pistons,13025250,2024-25
122,Isaiah Joe,Oklahoma City Thunder,12991650,2024-25
123,Austin Reaves,Los Angeles Lakers,12976362,2024-25
124,Herbert Jones,New Orleans Pelicans,12976362,2024-25
125,Obi Toppin,Indiana Pacers,12946429,2024-25
126,Cole Anthony,Orlando Magic,12900000,2024-25
127,De'Anthony Melton,Golden State Warriors,12822000,2024-25
128,Kelly Olynyk,New Orleans Pelicans,12804878,2024-25
129,Victor Wembanyama,San Antonio Spurs,12768960,2024-25
130,Josh Green,Charlotte Hornets,12654321,2024-25
131,Devonte' Graham,Portland Trail Blazers,12650000,2024-25
132,Richaun Holmes,Washington Wizards,12648321,2024-25
133,Steven Adams,Houston Rockets,12600000,2024-25
134,Bobby Portis,Milwaukee Bucks,12578286,2024-25
135,Zaccharie Risacher,Atlanta Hawks,12569040,2024-25
136,Marvin Bagley III,Memphis Grizzlies,12500000,2024-25
137,Brandon Clarke,Memphis Grizzlies,12500000,2024-25
138,Jalen Green,Houston Rockets,12483048,2024-25
139,Robert Williams III,Portland Trail Blazers,12428571,2024-25
140,Paolo Banchero,Orlando Magic,12160800,2024-25
141,Coby White,Chicago Bulls,12000000,2024-25
142,Wendell Carter Jr.,Orlando Magic,11950000,2024-25
143,Ivica Zubac,LA Clippers,11743210,2024-25
144,Donte DiVincenzo,Minnesota Timberwolves,11445000,2024-25
145,Brandon Miller,Charlotte Hornets,11424600,2024-25
146,Terance Mann,Atlanta Hawks,11423077,2024-25
147,Alex Sarr,Washington Wizards,11245680,2024-25
148,Evan Mobley,Cleveland Cavaliers,11227809,2024-25
149,Larry Nance Jr.,Atlanta Hawks,11205000,2024-25
150,Matisse Thybulle,Portland Trail Blazers,11025160,2024-25
151,Moritz Wagner,Orlando Magic,11000000,2024-25
152,Gabe Vincent,Los Angeles Lakers,11000000,2024-25
153,Maxi Kleber,Dallas Mavericks,11000000,2024-25
154,Aaron Nesmith,Indiana Pacers,11000000,2024-25
155,Chet Holmgren,Oklahoma City Thunder,10880640,2024-25
156,Chris Boucher,Toronto Raptors,10810000,2024-25
157,Jarred Vanderbilt,Los Angeles Lakers,10714286,2024-25
158,Aaron Wiggins,Oklahoma City Thunder,10514017,2024-25
159,Chris Paul,San Antonio Spurs,10460000,2024-25
160,Scoot Henderson,Portland Trail Blazers,10259160,2024-25
161,Isaac Okoro,Cleveland Cavaliers,10185185,2024-25
162,Scottie Barnes,Toronto Raptors,10130980,2024-25
163,Reed Sheppard,Houston Rockets,10098960,2024-25
164,Mike Conley,Minnesota Timberwolves,9975962,2024-25
165,Jonas Valanciunas,Sacramento Kings,9900000,2024-25
166,Alex Caruso,Oklahoma City Thunder,9890000,2024-25
167,Royce O'Neale,Phoenix Suns,9821429,2024-25
168,Jabari Smith Jr.,Houston Rockets,9770880,2024-25
169,Derrick Jones Jr.,LA Clippers,9523810,2024-25
170,Al Horford,Boston Celtics,9500000,2024-25
171,Pat Connaughton,Milwaukee Bucks,9423869,2024-25
172,T.J. McConnell,Indiana Pacers,9300000,2024-25
173,Luke Kennard,Memphis Grizzlies,9250000,2024-25
174,Amen Thompson,Houston Rockets,9249960,2024-25
175,Jalen Suggs,Orlando Magic,9188385,2024-25
176,Stephon Castle,San Antonio Spurs,9131760,2024-25
