Rank,Player,Team,Salary_USD,Season
474,Javonte Green,Cleveland Cavaliers,599862,2024-25
475,Brandon Boston,New Orleans Pelicans,596581,2024-25
476,Nate Williams,Houston Rockets,515881,2024-25
477,Bismack Biyombo,San Antonio Spurs,503884,2024-25
478,Orlando Robinson,Toronto Raptors,491887,2024-25
479,Ryan Rollins,Milwaukee Bucks,491887,2024-25
480,Dominick Barlow,Atlanta Hawks,491887,2024-25
481,Quinten Post,Golden State Warriors,438920,2024-25
482,Pat Spencer,Golden State Warriors,438810,2024-25
483,Jaylen Clark,Minnesota Timberwolves,429323,2024-25
484,Justin Edwards,Philadelphia 76ers,425619,2024-25
485,Lamar Stevens,Memphis Grizzlies,383912,2024-25
486,Tony Bradley,Indiana Pacers,330394,2024-25
487,Kevin Knox II,Golden State Warriors,263939,2024-25
488,P.J. Tucker,New York Knicks,246833,2024-25
489,Jordan Goodwin,Los Angeles Lakers,223718,2024-25
490,Isaac Jones,Sacramento Kings,152957,2024-25
491,Drew Timme,Brooklyn Nets,113055,2024-25
